typ,time,latitude,longitude,altitude (m),name,desc
T,31/12/2017 21:05,45.497672,-73.607983,127,,
T,31/12/2017 21:05,45.497238,-73.608486,125,,
T,31/12/2017 21:05,45.496887,-73.608797,125,,
T,31/12/2017 21:06,45.496602,-73.608649,128,,
T,31/12/2017 21:06,45.49616,-73.608679,128,,
T,31/12/2017 21:07,45.49597,-73.608717,134,,
T,31/12/2017 21:07,45.49569,-73.608067,132,,
T,31/12/2017 21:08,45.495565,-73.607635,119,,
T,31/12/2017 21:08,45.495193,-73.606308,122,,
T,31/12/2017 21:08,45.494798,-73.604588,130,,
T,31/12/2017 21:08,45.495017,-73.602962,136,,
T,31/12/2017 21:09,45.495407,-73.601481,145,,
T,31/12/2017 21:09,45.495439,-73.599879,142,,
T,31/12/2017 21:09,45.495373,-73.59829,146,,
T,31/12/2017 21:09,45.495232,-73.597196,142,,
T,31/12/2017 21:09,45.495114,-73.596885,144,,
T,31/12/2017 21:10,45.494724,-73.59586,144,,
T,31/12/2017 21:10,45.494618,-73.594435,132,,
T,31/12/2017 21:10,45.494881,-73.593146,130,,
T,31/12/2017 21:10,45.494986,-73.592406,120,,
T,31/12/2017 21:10,45.494934,-73.591353,113,,
T,31/12/2017 21:10,45.495051,-73.589961,105,,
T,31/12/2017 21:11,45.495419,-73.588204,94,,
T,31/12/2017 21:11,45.4962,-73.586883,86,,
T,31/12/2017 21:11,45.496942,-73.586203,86,,
T,31/12/2017 21:11,45.49758,-73.585669,85,,
T,31/12/2017 21:11,45.498373,-73.584978,83,,
T,31/12/2017 21:11,45.499165,-73.584251,84,,
T,31/12/2017 21:12,45.500062,-73.583387,84,,
T,31/12/2017 21:12,45.500789,-73.582617,84,,
T,31/12/2017 21:12,45.501157,-73.58216,80,,
T,31/12/2017 21:13,45.501802,-73.581384,79,,
T,31/12/2017 21:13,45.502636,-73.5804,76,,
T,31/12/2017 21:13,45.503267,-73.579605,69,,
T,31/12/2017 21:13,45.504019,-73.578628,59,,
T,31/12/2017 21:13,45.504826,-73.57847,48,,
T,31/12/2017 21:13,45.505959,-73.578561,66,,
T,31/12/2017 21:14,45.506692,-73.579603,71,,
T,31/12/2017 21:14,45.507182,-73.580493,80,,
T,31/12/2017 21:14,45.508347,-73.580066,73,,
T,31/12/2017 21:14,45.509243,-73.579525,67,,
T,31/12/2017 21:14,45.510038,-73.57883,64,,
T,31/12/2017 21:15,45.510582,-73.578345,55,,
T,31/12/2017 21:15,45.511201,-73.578093,57,,
T,31/12/2017 21:15,45.511413,-73.577835,51,,
T,31/12/2017 21:15,45.510951,-73.576847,54,,
T,31/12/2017 21:15,45.51066,-73.576219,49,,
T,31/12/2017 21:16,45.510359,-73.57556,51,,
T,31/12/2017 21:17,45.510254,-73.575316,55,,
T,31/12/2017 21:17,45.509977,-73.574713,56,,
T,31/12/2017 21:17,45.509678,-73.574065,54,,
T,31/12/2017 21:18,45.509562,-73.573815,53,,
T,31/12/2017 21:18,45.509312,-73.573848,53,,
T,31/12/2017 21:18,45.508979,-73.574157,51,,
T,31/12/2017 21:18,45.508547,-73.574448,49,,
T,31/12/2017 21:18,45.508107,-73.574852,49,,
T,31/12/2017 21:19,45.507676,-73.575244,48,,
T,31/12/2017 21:19,45.507357,-73.575563,49,,
T,31/12/2017 21:19,45.507183,-73.576008,49,,
T,31/12/2017 21:19,45.507486,-73.576629,50,,
T,31/12/2017 21:19,45.507797,-73.577269,50,,
T,31/12/2017 21:20,45.508177,-73.577891,54,,
T,31/12/2017 21:20,45.508646,-73.577424,53,,
T,31/12/2017 21:20,45.509089,-73.577,53,,
T,31/12/2017 21:20,45.509577,-73.57649,53,,
T,31/12/2017 21:20,45.509692,-73.575976,54,,
T,31/12/2017 21:20,45.509303,-73.575128,51,,
T,31/12/2017 21:21,45.508985,-73.574435,51,,
T,31/12/2017 21:21,45.508534,-73.573489,51,,
T,31/12/2017 21:21,45.508113,-73.572595,51,,
T,31/12/2017 21:21,45.507766,-73.571881,50,,
T,31/12/2017 21:22,45.508086,-73.571444,45,,
T,31/12/2017 21:22,45.508275,-73.571335,48,,
T,31/12/2017 21:22,45.508005,-73.570526,43,,
T,31/12/2017 21:23,45.507738,-73.569987,44,,
T,31/12/2017 21:23,45.507548,-73.569587,41,,
T,31/12/2017 21:23,45.50694,-73.570057,44,,
T,31/12/2017 21:23,45.506492,-73.570503,47,,
T,31/12/2017 21:23,45.505932,-73.571061,51,,
T,31/12/2017 21:24,45.50565,-73.571327,54,,
T,31/12/2017 21:25,45.505844,-73.572019,55,,
T,31/12/2017 21:25,45.506102,-73.572598,55,,
T,31/12/2017 21:25,45.505702,-73.572903,53,,
T,31/12/2017 21:25,45.505278,-73.572358,48,,
T,31/12/2017 21:25,45.505098,-73.571986,48,,
T,31/12/2017 21:26,45.504735,-73.571261,46,,
T,31/12/2017 21:27,45.504479,-73.571243,47,,
T,31/12/2017 21:27,45.504252,-73.571453,46,,
T,31/12/2017 21:27,45.504076,-73.571616,50,,
T,31/12/2017 21:28,45.503354,-73.572303,51,,
T,31/12/2017 21:28,45.502991,-73.572648,57,,
T,31/12/2017 21:28,45.502802,-73.57282,55,,
T,31/12/2017 21:28,45.502336,-73.572057,54,,
T,31/12/2017 21:29,45.502083,-73.571562,50,,
T,31/12/2017 21:29,45.501915,-73.571235,50,,
T,31/12/2017 21:29,45.501552,-73.570505,46,,
T,31/12/2017 21:29,45.501547,-73.570183,46,,
T,31/12/2017 21:29,45.502142,-73.5696,47,,
T,31/12/2017 21:30,45.502626,-73.569141,50,,
T,31/12/2017 21:30,45.502866,-73.568912,51,,
T,31/12/2017 21:31,45.503288,-73.568511,52,,
T,31/12/2017 21:31,45.503658,-73.568166,50,,
T,31/12/2017 21:31,45.503445,-73.567336,48,,
T,31/12/2017 21:31,45.503233,-73.566908,48,,
T,31/12/2017 21:32,45.502879,-73.565995,49,,
T,31/12/2017 21:32,45.50256,-73.565304,47,,
T,31/12/2017 21:32,45.502335,-73.564702,44,,
T,31/12/2017 21:33,45.501851,-73.564501,43,,
T,31/12/2017 21:33,45.501146,-73.565053,43,,
T,31/12/2017 21:34,45.500971,-73.56519,39,,
T,31/12/2017 21:34,45.501187,-73.565729,45,,
T,31/12/2017 21:34,45.501327,-73.56599,51,,
T,31/12/2017 21:35,45.501782,-73.566911,50,,
T,31/12/2017 21:35,45.502015,-73.567163,53,,
T,31/12/2017 21:35,45.502247,-73.566943,61,,
T,31/12/2017 21:36,45.502437,-73.566763,62,,
T,31/12/2017 21:36,45.503218,-73.566179,55,,
T,31/12/2017 21:36,45.504174,-73.56542,52,,
T,31/12/2017 21:36,45.504927,-73.564817,45,,
T,31/12/2017 21:37,45.505118,-73.564663,44,,
T,31/12/2017 21:37,45.505789,-73.564133,43,,
T,31/12/2017 21:37,45.505977,-73.563993,46,,
T,31/12/2017 21:38,45.506297,-73.564262,42,,
T,31/12/2017 21:38,45.506746,-73.565225,41,,
T,31/12/2017 21:38,45.507105,-73.565994,40,,
T,31/12/2017 21:38,45.507297,-73.566038,40,,
T,31/12/2017 21:39,45.50775,-73.565669,37,,
T,31/12/2017 21:39,45.508134,-73.565338,34,,
T,31/12/2017 21:39,45.508392,-73.565109,36,,
T,31/12/2017 21:39,45.508563,-73.564962,37,,
T,31/12/2017 21:40,45.508657,-73.564731,34,,
T,31/12/2017 21:40,45.508301,-73.563911,33,,
T,31/12/2017 21:40,45.507935,-73.563089,33,,
T,31/12/2017 21:40,45.507862,-73.562323,34,,
T,31/12/2017 21:40,45.508394,-73.561857,36,,
T,31/12/2017 21:40,45.508604,-73.561663,39,,
T,31/12/2017 21:41,45.509198,-73.56114,36,,
T,31/12/2017 21:41,45.509905,-73.560496,36,,
T,31/12/2017 21:41,45.510689,-73.559907,35,,
T,31/12/2017 21:41,45.511135,-73.559455,33,,
T,31/12/2017 21:41,45.510949,-73.559052,31,,
T,31/12/2017 21:41,45.51069,-73.558491,28,,
