typ,time,latitude,longitude,altitude (m),name,desc
T,31/12/2017 22:10,45.525882,-73.55935,28.3,,
T,31/12/2017 22:10,45.525713,-73.558985,28.3,,
T,31/12/2017 22:10,45.525521,-73.558579,28.3,,
T,31/12/2017 22:10,45.5253,-73.558125,29.3,,
T,31/12/2017 22:10,45.525104,-73.557698,30.3,,
T,31/12/2017 22:10,45.524951,-73.557283,23.3,,
T,31/12/2017 22:10,45.524979,-73.556695,23.3,,
T,31/12/2017 22:10,45.52518,-73.556399,24.3,,
T,31/12/2017 22:10,45.525489,-73.556074,23.3,,
T,31/12/2017 22:10,45.525704,-73.555742,25.3,,
T,31/12/2017 22:10,45.525779,-73.555091,24.3,,
T,31/12/2017 22:10,45.525661,-73.554488,23.3,,
T,31/12/2017 22:10,45.525402,-73.553873,25.3,,
T,31/12/2017 22:10,45.52517,-73.553018,25.3,,
T,31/12/2017 22:11,45.524941,-73.5521,27.3,,
T,31/12/2017 22:11,45.524751,-73.55137,29.3,,
T,31/12/2017 22:11,45.524431,-73.550561,32.3,,
T,31/12/2017 22:11,45.524129,-73.549927,34.3,,
T,31/12/2017 22:11,45.523835,-73.549299,36.3,,
T,31/12/2017 22:11,45.523471,-73.548525,40.3,,
T,31/12/2017 22:11,45.523172,-73.547882,42.3,,
T,31/12/2017 22:11,45.522886,-73.547244,44.3,,
T,31/12/2017 22:11,45.522654,-73.546565,46.3,,
T,31/12/2017 22:11,45.522487,-73.545615,51.3,,
T,31/12/2017 22:11,45.522285,-73.544625,58.3,,
T,31/12/2017 22:11,45.522149,-73.543859,60.2,,
T,31/12/2017 22:11,45.522044,-73.543188,64.2,,
T,31/12/2017 22:11,45.521857,-73.542242,62.2,,
T,31/12/2017 22:12,45.521699,-73.541281,63.2,,
T,31/12/2017 22:12,45.521556,-73.540445,61.2,,
T,31/12/2017 22:12,45.521462,-73.539991,61.2,,
T,31/12/2017 22:12,45.521312,-73.539113,60.2,,
T,31/12/2017 22:12,45.521087,-73.538008,54.2,,
T,31/12/2017 22:12,45.520889,-73.536897,50.2,,
T,31/12/2017 22:12,45.520739,-73.536032,47.2,,
T,31/12/2017 22:12,45.520658,-73.534916,43.2,,
T,31/12/2017 22:12,45.520705,-73.534067,41.2,,
T,31/12/2017 22:12,45.520787,-73.533208,40.2,,
T,31/12/2017 22:12,45.520865,-73.532362,38.2,,
T,31/12/2017 22:12,45.520949,-73.531373,36.2,,
T,31/12/2017 22:12,45.521035,-73.530416,36.2,,
T,31/12/2017 22:12,45.521135,-73.529207,40.2,,
T,31/12/2017 22:13,45.521198,-73.528379,43.2,,
T,31/12/2017 22:13,45.521287,-73.527423,47.2,,
T,31/12/2017 22:13,45.521375,-73.526438,51.2,,
T,31/12/2017 22:13,45.521438,-73.525695,53.2,,
T,31/12/2017 22:13,45.521523,-73.524872,51.2,,
T,31/12/2017 22:13,45.521594,-73.523968,47.2,,
T,31/12/2017 22:13,45.521695,-73.522788,43.2,,
T,31/12/2017 22:13,45.521774,-73.521827,39.2,,
T,31/12/2017 22:13,45.521861,-73.520857,35.2,,
T,31/12/2017 22:13,45.521956,-73.519713,31.2,,
T,31/12/2017 22:13,45.521991,-73.518911,31.2,,
T,31/12/2017 22:13,45.521921,-73.518198,27.2,,
T,31/12/2017 22:13,45.521904,-73.517706,26.2,,
T,31/12/2017 22:13,45.521991,-73.517538,26.2,,
T,31/12/2017 22:14,45.522157,-73.517478,27.2,,
T,31/12/2017 22:14,45.522251,-73.517752,28.2,,
T,31/12/2017 22:14,45.522251,-73.517946,28.2,,
T,31/12/2017 22:14,45.522242,-73.51812,27.2,,
T,31/12/2017 22:14,45.522138,-73.518688,28.2,,
T,31/12/2017 22:14,45.52207,-73.519053,29.2,,
T,31/12/2017 22:14,45.522011,-73.519585,31.2,,
T,31/12/2017 22:14,45.521959,-73.520189,32.2,,
T,31/12/2017 22:14,45.521899,-73.520881,33.2,,
T,31/12/2017 22:14,45.521845,-73.52158,35.2,,
T,31/12/2017 22:14,45.521761,-73.52245,37.2,,
